iat_slot_va	symbol
0x14034F000	DINPUT8.dll!DirectInput8Create
0x14034F010	GDI32.dll!DeleteObject
0x14034F018	GDI32.dll!SetBitmapBits
0x14034F020	GDI32.dll!CreateCompatibleBitmap
0x14034F030	KERNEL32.dll!LocalFree
0x14034F038	KERNEL32.dll!SystemTimeToFileTime
0x14034F040	KERNEL32.dll!CreateFileW
0x14034F048	KERNEL32.dll!WideCharToMultiByte
0x14034F050	KERNEL32.dll!InitializeSListHead
0x14034F058	KERNEL32.dll!GetSystemTimeAsFileTime
0x14034F060	KERNEL32.dll!GetCurrentProcessId
0x14034F068	KERNEL32.dll!GetStartupInfoW
0x14034F070	KERNEL32.dll!IsDebuggerPresent
0x14034F078	KERNEL32.dll!IsProcessorFeaturePresent
0x14034F080	KERNEL32.dll!TerminateProcess
0x14034F088	KERNEL32.dll!GetCurrentProcess
0x14034F090	KERNEL32.dll!GetFileInformationByHandleEx
0x14034F098	KERNEL32.dll!UnhandledExceptionFilter
0x14034F0A0	KERNEL32.dll!RtlVirtualUnwind
0x14034F0A8	KERNEL32.dll!RtlLookupFunctionEntry
0x14034F0B0	KERNEL32.dll!RtlCaptureContext
0x14034F0B8	KERNEL32.dll!GetProcAddress
0x14034F0C0	KERNEL32.dll!FileTimeToSystemTime
0x14034F0C8	KERNEL32.dll!VirtualAlloc
0x14034F0D0	KERNEL32.dll!GetSystemTime
0x14034F0D8	KERNEL32.dll!CreateEventW
0x14034F0E0	KERNEL32.dll!ResetEvent
0x14034F0E8	KERNEL32.dll!DeleteCriticalSection
0x14034F0F0	KERNEL32.dll!LeaveCriticalSection
0x14034F0F8	KERNEL32.dll!FindClose
0x14034F100	KERNEL32.dll!FindFirstFileA
0x14034F108	KERNEL32.dll!SetUnhandledExceptionFilter
0x14034F110	KERNEL32.dll!EnterCriticalSection
0x14034F118	KERNEL32.dll!InitializeCriticalSection
0x14034F120	KERNEL32.dll!SetLastError
0x14034F128	KERNEL32.dll!SetFilePointer
0x14034F130	KERNEL32.dll!ReadFile
0x14034F138	KERNEL32.dll!GetFileSize
0x14034F140	KERNEL32.dll!FileTimeToLocalFileTime
0x14034F148	KERNEL32.dll!CreateFileA
0x14034F150	KERNEL32.dll!GetModuleHandleW
0x14034F158	KERNEL32.dll!GetCurrentThreadId
0x14034F160	KERNEL32.dll!OutputDebugStringW
0x14034F168	KERNEL32.dll!CreateDirectoryW
0x14034F170	KERNEL32.dll!GetModuleFileNameW
0x14034F178	KERNEL32.dll!CreateProcessW
0x14034F180	KERNEL32.dll!MultiByteToWideChar
0x14034F188	KERNEL32.dll!GetModuleFileNameA
0x14034F190	KERNEL32.dll!GetLastError
0x14034F198	KERNEL32.dll!WaitForSingleObject
0x14034F1A0	KERNEL32.dll!Sleep
0x14034F1A8	KERNEL32.dll!VerifyVersionInfoW
0x14034F1B0	KERNEL32.dll!CreateThread
0x14034F1B8	KERNEL32.dll!SwitchToThread
0x14034F1C0	KERNEL32.dll!CreateEventExW
0x14034F1C8	KERNEL32.dll!SetEvent
0x14034F1D0	KERNEL32.dll!QueryPerformanceFrequency
0x14034F1D8	KERNEL32.dll!QueryPerformanceCounter
0x14034F1E0	KERNEL32.dll!VerSetConditionMask
0x14034F1E8	KERNEL32.dll!CloseHandle
0x14034F1F8	MFPlat.DLL!MFllMulDiv
0x14034F200	MFPlat.DLL!MFCreateMediaType
0x14034F208	MFPlat.DLL!MFTEnum
0x14034F210	MFPlat.DLL!MFCreateSample
0x14034F218	MFPlat.DLL!MFCreateMemoryBuffer
0x14034F220	MFPlat.DLL!MFShutdown
0x14034F228	MFPlat.DLL!MFStartup
0x14034F238	MFReadWrite.dll!MFCreateSourceReaderFromURL
0x14034F248	MSVCP140.dll!?_Xbad_alloc@std@@YAXXZ
0x14034F250	MSVCP140.dll!?_Xlength_error@std@@YAXPEBD@Z
0x14034F258	MSVCP140.dll!?_Xout_of_range@std@@YAXPEBD@Z
0x14034F268	OLEAUT32.dll!ordinal:9
0x14034F270	OLEAUT32.dll!ordinal:6
0x14034F278	OLEAUT32.dll!ordinal:2
0x14034F288	SHELL32.dll!SHGetFolderPathW
0x14034F298	USER32.dll!FindWindowW
0x14034F2A0	USER32.dll!MonitorFromWindow
0x14034F2A8	USER32.dll!GetMonitorInfoW
0x14034F2B0	USER32.dll!CallNextHookEx
0x14034F2B8	USER32.dll!UnhookWindowsHookEx
0x14034F2C0	USER32.dll!SetWindowsHookExW
0x14034F2C8	USER32.dll!SetWindowLongW
0x14034F2D0	USER32.dll!GetWindowLongW
0x14034F2D8	USER32.dll!ShowCursor
0x14034F2E0	USER32.dll!UpdateWindow
0x14034F2E8	USER32.dll!GetSystemMetrics
0x14034F2F0	USER32.dll!SetWindowPos
0x14034F2F8	USER32.dll!ShowWindow
0x14034F300	USER32.dll!CreateWindowExW
0x14034F308	USER32.dll!RegisterClassExW
0x14034F310	USER32.dll!UnregisterClassW
0x14034F318	USER32.dll!PostQuitMessage
0x14034F320	USER32.dll!LoadCursorW
0x14034F328	USER32.dll!DefWindowProcW
0x14034F330	USER32.dll!GetFocus
0x14034F338	USER32.dll!OpenClipboard
0x14034F340	USER32.dll!CloseClipboard
0x14034F348	USER32.dll!SetClipboardData
0x14034F350	USER32.dll!EmptyClipboard
0x14034F358	USER32.dll!GetDC
0x14034F360	USER32.dll!TranslateMessage
0x14034F368	USER32.dll!DispatchMessageW
0x14034F370	USER32.dll!PeekMessageW
0x14034F378	USER32.dll!PostMessageW
0x14034F388	VCRUNTIME140.dll!__std_exception_copy
0x14034F390	VCRUNTIME140.dll!strrchr
0x14034F398	VCRUNTIME140.dll!_CxxThrowException
0x14034F3A0	VCRUNTIME140.dll!__CxxFrameHandler3
0x14034F3A8	VCRUNTIME140.dll!memcpy
0x14034F3B0	VCRUNTIME140.dll!memset
0x14034F3B8	VCRUNTIME140.dll!_purecall
0x14034F3C0	VCRUNTIME140.dll!__std_terminate
0x14034F3C8	VCRUNTIME140.dll!memcmp
0x14034F3D0	VCRUNTIME140.dll!strstr
0x14034F3D8	VCRUNTIME140.dll!__RTDynamicCast
0x14034F3E0	VCRUNTIME140.dll!__C_specific_handler
0x14034F3E8	VCRUNTIME140.dll!__vcrt_InitializeCriticalSectionEx
0x14034F3F0	VCRUNTIME140.dll!__std_exception_destroy
0x14034F3F8	VCRUNTIME140.dll!memmove
0x14034F408	XINPUT9_1_0.dll!XInputSetState
0x14034F410	XINPUT9_1_0.dll!XInputGetState
0x14034F420	api-ms-win-crt-convert-l1-1-0.dll!atoi
0x14034F428	api-ms-win-crt-convert-l1-1-0.dll!atof
0x14034F430	api-ms-win-crt-convert-l1-1-0.dll!mbstowcs
0x14034F440	api-ms-win-crt-heap-l1-1-0.dll!_aligned_free
0x14034F448	api-ms-win-crt-heap-l1-1-0.dll!realloc
0x14034F450	api-ms-win-crt-heap-l1-1-0.dll!malloc
0x14034F458	api-ms-win-crt-heap-l1-1-0.dll!calloc
