instruction_va	capstone_size	linear_size	reason
0x140029B30	7		missing_linear_start
0x140035FB0	4		missing_linear_start
0x140035FB4	7		missing_linear_start
0x140036C00	2		missing_linear_start
0x140036C02	4		missing_linear_start
0x140044130	5		missing_linear_start
0x140048970	4		missing_linear_start
0x140048974	7		missing_linear_start
0x14005B0C0	3		missing_linear_start
0x14005B0C3	3		missing_linear_start
0x14005B0C6	10		missing_linear_start
0x140066600	5		missing_linear_start
0x1400757F0	2		missing_linear_start
0x14007CA30	2		missing_linear_start
0x14007D060	2		missing_linear_start
0x14007D7D0	2		missing_linear_start
0x140085050	5		missing_linear_start
0x140086D70	7		missing_linear_start
0x1400A1C50	2		missing_linear_start
0x1400EAFB0	5		missing_linear_start
0x1400EEEF0	2		missing_linear_start
0x1400EF860	4		missing_linear_start
0x1400EF864	3		missing_linear_start
0x1400EF867	7		missing_linear_start
0x1400EF86E	3		missing_linear_start
0x1400EF871	5		missing_linear_start
0x1400EF876	5		missing_linear_start
0x1400EFB40	3		missing_linear_start
0x1400F1D20	2		missing_linear_start
0x1400F68C0	5		missing_linear_start
0x140108300	5		missing_linear_start
0x140112E90	5		missing_linear_start
0x14011B840	5		missing_linear_start
0x14011B845	1		missing_linear_start
0x14011B846	3		missing_linear_start
0x14011F6C0	2		missing_linear_start
0x14011F6C2	1		missing_linear_start
0x1401276E0	5		missing_linear_start
0x140131CF0	3		missing_linear_start
0x14015F700	3		missing_linear_start
0x140178E80	5		missing_linear_start
0x14017C1D0	2		missing_linear_start
0x14017CB20	5		missing_linear_start
0x14018D730	3		missing_linear_start
0x1401B4DE0	5		missing_linear_start
0x1401B5590	5		missing_linear_start
0x1401DEFE0	2		missing_linear_start
0x1401E7410	4		missing_linear_start
0x1401E7414	7		missing_linear_start
0x1401ED9F0	3		missing_linear_start
0x1401F72F0	5		missing_linear_start
0x1401FD8F0	2		missing_linear_start
0x140217550	5		missing_linear_start
0x140223AC0	2		missing_linear_start
0x140224870	2		missing_linear_start
0x140243600	2		missing_linear_start
0x14024B3A0	2		missing_linear_start
0x140250F10	2		missing_linear_start
0x140250F12	4		missing_linear_start
0x140260930	2		missing_linear_start
0x140261D10	2		missing_linear_start
0x140262340	2		missing_linear_start
0x140265520	5		missing_linear_start
0x140277FF0	2		missing_linear_start
0x140278090	4		missing_linear_start
0x140278094	3		missing_linear_start
0x140278097	1		missing_linear_start
0x140279AD0	2		missing_linear_start
0x140279E60	2		missing_linear_start
0x140279FF0	5		missing_linear_start
0x140283F00	5		missing_linear_start
0x140284CC0	5		missing_linear_start
0x140295200	5		missing_linear_start
0x140297CF0	2		missing_linear_start
0x1402AD190	5		missing_linear_start
0x1402AE5F0	5		missing_linear_start
0x1402B6430	3		missing_linear_start
0x1402C9DC0	5		missing_linear_start
0x1402CB390	2		missing_linear_start
0x1402CB392	10		missing_linear_start
0x1402CB39C	4		missing_linear_start
0x1402F07D0	5		missing_linear_start
0x14031E0B0	5		missing_linear_start
0x14031E190	4		missing_linear_start
0x14031E194	2		missing_linear_start
0x14031E196	3		missing_linear_start
