caller_va	callsite_va	callee_va	relation
0x1402c5df0	0x1402c5e03	0x140030190	direct_call_not_ownership
0x1402c5df0	0x1402c5e1f	0x1400479c0	direct_call_not_ownership
0x1402c5df0	0x1402c5e2b	0x140337bf0	direct_call_not_ownership
0x1402c5df0	0x1402c5e30	0x1402c60e0	direct_call_not_ownership
0x1402c5df0	0x1402c5e3c	0x140337b70	direct_call_not_ownership
0x1402c5df0	0x1402c5e48	0x14004f120	direct_call_not_ownership
0x1402c5df0	0x1402c5e4d	0x140337f80	direct_call_not_ownership
0x1402c5df0	0x1402c5e59	0x140337f70	direct_call_not_ownership
0x1402c5df0	0x1402c5e69	0x14024ea30	direct_call_not_ownership
0x1402c5df0	0x1402c5f39	0x140048970	direct_call_not_ownership
0x1402c5df0	0x1402c5f5c	0x140337cc0	direct_call_not_ownership
0x1402c5df0	0x1402c5f6b	0x1403455f0	direct_call_not_ownership
0x1402c5df0	0x1402c5f75	0x140030530	direct_call_not_ownership
0x1402c5df0	0x1402c5f85	0x140337df0	direct_call_not_ownership
0x1402c5df0	0x1402c5f91	0x140337af0	direct_call_not_ownership
0x1402c5df0	0x1402c5f9d	0x14004f1e0	direct_call_not_ownership
0x1402c5df0	0x1402c5fa9	0x1402e9f90	direct_call_not_ownership
0x1402c5df0	0x1402c5fb5	0x140337aa0	direct_call_not_ownership
0x1402c5df0	0x1402c5fd3	0x14032d450	direct_call_not_ownership
