derived_type_va	base_type_va	derived	base
0x1405d51c0	0x1405d5180	.?AVReadRequest@AsyncIOThread@?A0xdf511c96@@	.?AVRequest@AsyncIOThread@?A0xdf511c96@@
0x1405d5200	0x1405d5220	gfxClut	gfxTexture
0x1405d5268	0x1405d5148	.?AVPCFullMotionVideoManager@DMC3@@	.?AVFullMotionVideoManager@DMC3@@
0x1405d52d8	0x1405d5248	.?AUIMMNotificationClient@DMC3@@	IUnknown
0x1405d5310	0x1405d52a0	.?AUPlaySoundStreamVoiceContext@DMC3@@	.?AUIXAudio2VoiceCallback@DMC3@@
0x1405d5348	0x1405d5118	.?AVPCFullMotionVideo@DMC3@@	.?AVFullMotionVideo@DMC3@@
0x1405d5348	0x1405d52d8	.?AVPCFullMotionVideo@DMC3@@	.?AUIMMNotificationClient@DMC3@@
0x1405d5378	0x1405d5220	PCRenderTarget	gfxTexture
0x1405d53c8	0x1405d53a0	PCCriticalSection	nbCriticalSection
0x1405d5430	0x1405d53f0	CActor	IActor
0x1405d5430	0x1405d5410	CActor	CWork
0x1405d5430	0x1405d5450	CActor	ICollisionHandle
0x1405d5478	0x1405d5410	CAfterImage	CWork
0x1405d54e8	0x1405d54a0	CSceneFactoryApp	ISceneFactory
0x1405d5510	0x1405d54c8	CSceneMgrRoot	CSceneMgr
0x1405d5580	0x1405d55a8	CCameraRailBase	CCamera
0x1405d55c8	0x1405d5580	CCameraPan	CCameraRailBase
0x1405d55f0	0x1405d5580	CCameraRail	CCameraRailBase
0x1405d5618	0x1405d5580	CCameraRailW	CCameraRailBase
0x1405d5640	0x1405d5580	CCameraRel	CCameraRailBase
0x1405d5688	0x1405d5668	CCom	ICom
0x1405d56d0	0x1405d56a8	IComAction	IComActionState
0x1405d56f8	0x1405d56d0	CComAction	IComAction
0x1405d5720	0x1405d5688	CComEm000	CCom
0x1405d5720	0x1405d56d0	CComEm000	IComAction
0x1405d5740	0x1405d5688	CComEm005	CCom
0x1405d5740	0x1405d56d0	CComEm005	IComAction
0x1405d5760	0x1405d5688	CComEm006	CCom
0x1405d5760	0x1405d56d0	CComEm006	IComAction
0x1405d5780	0x1405d5688	CComEm008	CCom
0x1405d5780	0x1405d56d0	CComEm008	IComAction
0x1405d5810	0x1405d5450	CDamage	ICollisionHandle
0x1405d5810	0x1405d57f0	CDamage	IDamage
0x1405d5830	0x1405d5810	CDamageDeath	CDamage
0x1405d5858	0x1405d5810	CDamageMulti	CDamage
0x1405d5880	0x1405d5810	CDamageIndex	CDamage
0x1405d58d0	0x1405d58a8	CDamageCalc	IDamageCalc
0x1405d58f8	0x1405d5410	CDemoProg	CWork
0x1405d5940	0x1405d5918	CDifficult	IDifficult
0x1405d5990	0x1405d5968	CDrawOperate	IDrawOperate
0x1405d59d8	0x1405d5990	CDraw	CDrawOperate
0x1405d59d8	0x1405d59b8	CDraw	IDraw
0x1405d59f8	0x1405d5990	CDrawSCM	CDrawOperate
0x1405d59f8	0x1405d59b8	CDrawSCM	IDraw
0x1405d5a40	0x1405d5a18	CDrawCrush	IDrawCrush
0x1405d5a90	0x1405d5a68	CDrawShadow	IDrawShadow
0x1405d5ad8	0x1405d5ab8	CDrawUV	IDrawUV
0x1405d5af8	0x1405d5410	CEfc	CWork
0x1405d5b18	0x1405d5af8	CEfcCartridge	CEfc
0x1405d5b40	0x1405d5af8	CEfcPub	CEfc
