type_va	decorated_name	referenced_by_validated_hierarchy
0x1405d5118	.?AVFullMotionVideo@DMC3@@	true
0x1405d5148	.?AVFullMotionVideoManager@DMC3@@	true
0x1405d5180	.?AVRequest@AsyncIOThread@?A0xdf511c96@@	true
0x1405d51c0	.?AVReadRequest@AsyncIOThread@?A0xdf511c96@@	true
0x1405d5200	.?AVgfxClut@@	true
0x1405d5220	.?AVgfxTexture@@	true
0x1405d5248	.?AUIUnknown@@	true
0x1405d5268	.?AVPCFullMotionVideoManager@DMC3@@	true
0x1405d52a0	.?AUIXAudio2VoiceCallback@DMC3@@	true
0x1405d52d8	.?AUIMMNotificationClient@DMC3@@	true
0x1405d5310	.?AUPlaySoundStreamVoiceContext@DMC3@@	true
0x1405d5348	.?AVPCFullMotionVideo@DMC3@@	true
0x1405d5378	.?AVPCRenderTarget@@	true
0x1405d53a0	.?AVnbCriticalSection@@	true
0x1405d53c8	.?AVPCCriticalSection@@	true
0x1405d53f0	.?AVIActor@@	true
0x1405d5410	.?AVCWork@@	true
0x1405d5430	.?AVCActor@@	true
0x1405d5450	.?AVICollisionHandle@@	true
0x1405d5478	.?AVCAfterImage@@	true
0x1405d54a0	.?AVISceneFactory@@	true
0x1405d54c8	.?AVCSceneMgr@@	true
0x1405d54e8	.?AVCSceneFactoryApp@@	true
0x1405d5510	.?AVCSceneMgrRoot@@	true
0x1405d5538	.?AVCSystemData@@	true
0x1405d5560	.?AVCSpline@@	true
0x1405d5580	.?AVCCameraRailBase@@	true
0x1405d55a8	.?AVCCamera@@	true
0x1405d55c8	.?AVCCameraPan@@	true
0x1405d55f0	.?AVCCameraRail@@	true
0x1405d5618	.?AVCCameraRailW@@	true
0x1405d5640	.?AVCCameraRel@@	true
0x1405d5668	.?AVICom@@	true
0x1405d5688	.?AVCCom@@	true
0x1405d56a8	.?AVIComActionState@@	true
0x1405d56d0	.?AVIComAction@@	true
0x1405d56f8	.?AVCComAction@@	true
0x1405d5720	.?AVCComEm000@@	true
0x1405d5740	.?AVCComEm005@@	true
0x1405d5760	.?AVCComEm006@@	true
0x1405d5780	.?AVCComEm008@@	true
0x1405d57a0	.?AVCCustomize@@	true
0x1405d57c8	.?AVCCustomizeData@@	true
0x1405d57f0	.?AVIDamage@@	true
0x1405d5810	.?AVCDamage@@	true
0x1405d5830	.?AVCDamageDeath@@	true
0x1405d5858	.?AVCDamageMulti@@	true
0x1405d5880	.?AVCDamageIndex@@	true
0x1405d58a8	.?AVIDamageCalc@@	true
0x1405d58d0	.?AVCDamageCalc@@	true
0x1405d58f8	.?AVCDemoProg@@	true
0x1405d5918	.?AVIDifficult@@	true
0x1405d5940	.?AVCDifficult@@	true
0x1405d5968	.?AVIDrawOperate@@	true
0x1405d5990	.?AVCDrawOperate@@	true
0x1405d59b8	.?AVIDraw@@	true
0x1405d59d8	.?AVCDraw@@	true
0x1405d59f8	.?AVCDrawSCM@@	true
0x1405d5a18	.?AVIDrawCrush@@	true
0x1405d5a40	.?AVCDrawCrush@@	true
0x1405d5a68	.?AVIDrawShadow@@	true
0x1405d5a90	.?AVCDrawShadow@@	true
0x1405d5ab8	.?AVIDrawUV@@	true
0x1405d5ad8	.?AVCDrawUV@@	true
0x1405d5af8	.?AVCEfc@@	true
0x1405d5b18	.?AVCEfcCartridge@@	true
0x1405d5b40	.?AVCEfcPub@@	true
0x1405d5b60	.?AVCEfcShadow@@	true
0x1405d5b88	.?AVCEm000@@	true
0x1405d5ba8	.?AVCNonPlayerDeath@@	true
0x1405d5bd0	.?AVCNonPlayer@@	true
0x1405d5bf8	.?AVINonPlayer@@	true
0x1405d5c20	.?AVINonPlayerDeath@@	true
0x1405d5c48	.?AVCEm000Shl00@@	true
0x1405d5c70	.?AVCShell@@	true
0x1405d5c90	.?AVCEm000Shl01@@	true
0x1405d5cb8	.?AVCEm001@@	true
0x1405d5cd8	.?AVCEm002@@	true
0x1405d5cf8	.?AVCEm003@@	true
0x1405d5d18	.?AVCEm004@@	true
0x1405d5d38	.?AVCEm005@@	true
0x1405d5d58	.?AVCEm005Shl00@@	true
0x1405d5d80	.?AVCConstraint@@	true
0x1405d5da8	.?AVCCnsChain@@	true
0x1405d5dc8	.?AVCEm005Shl01@@	true
0x1405d5df0	.?AVCEm006@@	true
0x1405d5e10	.?AVCEm006Shl00@@	true
0x1405d5e38	.?AVCEm007@@	true
0x1405d5e58	.?AVCCnsDirPos@@	true
0x1405d5e80	.?AVCEm008@@	true
0x1405d5ea0	.?AVCCnsRandom@@	true
0x1405d5ec8	.?AVCCnsIK@@	true
0x1405d5ee8	.?AVCCnsMatrix@@	true
0x1405d5f10	.?AVCEm010@@	true
0x1405d5f30	.?AVCEm010Baby@@	true
0x1405d5f58	.?AVCEm010Shl00@@	true
0x1405d5f80	.?AVCEm010Shl01@@	true
0x1405d5fa8	.?AVCEm011@@	true
0x1405d5fc8	.?AVCEm011Shl00@@	true
0x1405d5ff0	.?AVCSpreadBone@@	true
0x1405d6018	.?AVCEm012@@	true
0x1405d6038	.?AVCEm013@@	true
0x1405d6058	.?AVCEm014@@	true
0x1405d6078	.?AVCEm014Shl00@@	true
0x1405d60a0	.?AVCEm014Shl01@@	true
0x1405d60c8	.?AVCEm016@@	true
0x1405d60e8	.?AVCEm017@@	true
0x1405d6108	.?AVCEm017Master@@	true
0x1405d6130	.?AVCEm017Shl00@@	true
0x1405d6158	.?AVCEm019Shl00@@	true
0x1405d6180	.?AVCEm020Shl00@@	true
0x1405d61a8	.?AVCEm021@@	true
0x1405d61c8	.?AVCEm022Shl00@@	true
0x1405d61f0	.?AVCChainNode@@	true
0x1405d6218	.?AVCLight@@	true
0x1405d6238	.?AVCEm023Body@@	true
0x1405d6260	.?AVCDamageEm023@@	true
0x1405d6288	.?AVCEm023@@	true
0x1405d62a8	.?AVCEm023Shl00@@	true
