type_va	name	decorated_name
0x1405d5118	.?AVFullMotionVideo@DMC3@@	.?AVFullMotionVideo@DMC3@@
0x1405d5148	.?AVFullMotionVideoManager@DMC3@@	.?AVFullMotionVideoManager@DMC3@@
0x1405d5180	.?AVRequest@AsyncIOThread@?A0xdf511c96@@	.?AVRequest@AsyncIOThread@?A0xdf511c96@@
0x1405d51c0	.?AVReadRequest@AsyncIOThread@?A0xdf511c96@@	.?AVReadRequest@AsyncIOThread@?A0xdf511c96@@
0x1405d5200	gfxClut	.?AVgfxClut@@
0x1405d5220	gfxTexture	.?AVgfxTexture@@
0x1405d5248	IUnknown	.?AUIUnknown@@
0x1405d5268	.?AVPCFullMotionVideoManager@DMC3@@	.?AVPCFullMotionVideoManager@DMC3@@
0x1405d52a0	.?AUIXAudio2VoiceCallback@DMC3@@	.?AUIXAudio2VoiceCallback@DMC3@@
0x1405d52d8	.?AUIMMNotificationClient@DMC3@@	.?AUIMMNotificationClient@DMC3@@
0x1405d5310	.?AUPlaySoundStreamVoiceContext@DMC3@@	.?AUPlaySoundStreamVoiceContext@DMC3@@
0x1405d5348	.?AVPCFullMotionVideo@DMC3@@	.?AVPCFullMotionVideo@DMC3@@
0x1405d5378	PCRenderTarget	.?AVPCRenderTarget@@
0x1405d53a0	nbCriticalSection	.?AVnbCriticalSection@@
0x1405d53c8	PCCriticalSection	.?AVPCCriticalSection@@
0x1405d53f0	IActor	.?AVIActor@@
0x1405d5410	CWork	.?AVCWork@@
0x1405d5430	CActor	.?AVCActor@@
0x1405d5450	ICollisionHandle	.?AVICollisionHandle@@
0x1405d5478	CAfterImage	.?AVCAfterImage@@
0x1405d54a0	ISceneFactory	.?AVISceneFactory@@
0x1405d54c8	CSceneMgr	.?AVCSceneMgr@@
0x1405d54e8	CSceneFactoryApp	.?AVCSceneFactoryApp@@
0x1405d5510	CSceneMgrRoot	.?AVCSceneMgrRoot@@
0x1405d5538	CSystemData	.?AVCSystemData@@
0x1405d5560	CSpline	.?AVCSpline@@
0x1405d5580	CCameraRailBase	.?AVCCameraRailBase@@
0x1405d55a8	CCamera	.?AVCCamera@@
0x1405d55c8	CCameraPan	.?AVCCameraPan@@
0x1405d55f0	CCameraRail	.?AVCCameraRail@@
0x1405d5618	CCameraRailW	.?AVCCameraRailW@@
0x1405d5640	CCameraRel	.?AVCCameraRel@@
