vftable_va	locator_va	type_va	subobject_offset	first_entry_va	class
0x14035d380	0x14050cf10	0x1405d5118	0	0x14002ab80	.?AVFullMotionVideo@DMC3@@
0x14035d428	0x14050cf88	0x1405d5148	0	0x1400898a0	.?AVFullMotionVideoManager@DMC3@@
0x14036e948	0x14050d050	0x1405d51c0	0	0x14002f930	.?AVReadRequest@AsyncIOThread@?A0xdf511c96@@
0x14036f508	0x14050d0d0	0x1405d5200	0	0x140033700	gfxClut
0x1403712a8	0x14050d1f0	0x1405d5268	0	0x1400898a0	.?AVPCFullMotionVideoManager@DMC3@@
0x140371370	0x14050d318	0x1405d5310	0	0x14024ea30	.?AUPlaySoundStreamVoiceContext@DMC3@@
0x1403713b8	0x14050d398	0x1405d5348	0	0x14002ab80	.?AVPCFullMotionVideo@DMC3@@
0x140371460	0x14050d478	0x1405d5348	616	0x14003b5e0	.?AVPCFullMotionVideo@DMC3@@
0x140371b10	0x14050d4a0	0x1405d5378	0	0x140045880	PCRenderTarget
0x1404c5388	0x14050d520	0x1405d5220	0	0x1400462f0	gfxTexture
0x1404c55b8	0x14050d598	0x1405d53c8	0	0x140048a50	PCCriticalSection
0x1404c5c20	0x14050d618	0x1405d53f0	0	0x14004c9b0	IActor
0x1404c5d18	0x14050d690	0x1405d5410	0	0x14004c960	CWork
0x1404c5d58	0x14050d708	0x1405d5430	0	0x14004c8e0	CActor
0x1404c5da0	0x14050d838	0x1405d5430	96	0x14004c8bc	CActor
0x1404c5e98	0x14050d860	0x1405d5430	208	0x14004c8c8	CActor
0x1404c5f08	0x14050d888	0x1405d5478	0	0x14004cbb0	CAfterImage
0x1404c5f78	0x14050dad0	0x1405d5538	0	0x14004ee10	CSystemData
0x1404c5f88	0x14050d958	0x1405d54c8	0	0x14004ee50	CSceneMgr
0x1404c5fa0	0x14050d9d0	0x1405d54e8	0	0x140240090	CSceneFactoryApp
0x1404c5fb0	0x14050da50	0x1405d5510	0	0x14004ee90	CSceneMgrRoot
0x1404c6288	0x14050db48	0x1405d5560	0	0x140055850	CSpline
0x1404c6298	0x14050dbc0	0x1405d5580	0	0x140055760	CCameraRailBase
0x1404c62e8	0x14050dc90	0x1405d55c8	0	0x1400556b0	CCameraPan
0x1404c6338	0x14050dd18	0x1405d55f0	0	0x1400556f0	CCameraRail
0x1404c6388	0x14050dda0	0x1405d5618	0	0x1400557a0	CCameraRailW
0x1404c63d8	0x14050de28	0x1405d5640	0	0x140055810	CCameraRel
0x1404c65a0	0x14050deb0	0x1405d5450	0	0x14005c100	ICollisionHandle
0x1404c65f0	0x14050ded8	0x1405d5668	0	0x140060a00	ICom
0x1404c66b8	0x14050df50	0x1405d5688	0	0x1400609d0	CCom
0x1404c6830	0x14050dfd0	0x1405d56a8	0	0x1400617b0	IComActionState
0x1404c6870	0x14050e048	0x1405d56d0	0	0x1400617b0	IComAction
0x1404c68c0	0x14050e0c8	0x1405d56f8	0	0x140061780	CComAction
0x1404c6a18	0x14050e150	0x1405d5720	0	0x140062ab0	CComEm000
0x1404c7220	0x14050e238	0x1405d5720	208	0x140062a98	CComEm000
0x1404c7310	0x14050e260	0x1405d5740	0	0x14006cd90	CComEm005
0x1404c7560	0x14050e2f8	0x1405d5740	208	0x14006cd78	CComEm005
0x1404c75e0	0x14050e320	0x1405d5760	0	0x14006e610	CComEm006
0x1404c7e18	0x14050e3b8	0x1405d5760	208	0x14006e5f8	CComEm006
0x1404c7ea0	0x14050e3e0	0x1405d5780	0	0x1400799a0	CComEm008
0x1404c86d8	0x14050e478	0x1405d5780	208	0x140079988	CComEm008
0x1404c8780	0x14050e4a0	0x1405d57a0	0	0x140084db0	CCustomize
0x1404c8790	0x14050e518	0x1405d57c8	0	0x140086da0	CCustomizeData
0x1404c8848	0x14050e590	0x1405d57f0	0	0x140087b60	IDamage
0x1404c8870	0x14050e608	0x1405d5810	0	0x140087a40	CDamage
0x1404c88a0	0x14050e6b8	0x1405d5810	8	0x140087a1c	CDamage
0x1404c88c0	0x14050e6e0	0x1405d5830	0	0x140087aa0	CDamageDeath
0x1404c88f0	0x14050e770	0x1405d5830	8	0x140087a28	CDamageDeath
0x1404c8910	0x14050e798	0x1405d5858	0	0x140087b00	CDamageMulti
0x1404c8940	0x14050e828	0x1405d5858	8	0x140087a34	CDamageMulti
0x1404c8960	0x14050e850	0x1405d5880	0	0x140087b00	CDamageIndex
0x1404c8990	0x14050e8e0	0x1405d5880	8	0x140087a34	CDamageIndex
0x1404c89b0	0x14050e908	0x1405d58a8	0	0x140088160	IDamageCalc
0x1404c89e0	0x14050e980	0x1405d58d0	0	0x140088130	CDamageCalc
0x1404c8a40	0x14050ea00	0x1405d58f8	0	0x140088a40	CDemoProg
0x1404c8a80	0x14050ea80	0x1405d5918	0	0x1400890c0	IDifficult
0x1404c8ac0	0x14050eaf8	0x1405d5940	0	0x140089090	CDifficult
0x1404c8b58	0x14050eb78	0x1405d5968	0	0x140089640	IDrawOperate
0x1404c8cc8	0x14050ebf0	0x1405d5990	0	0x140089640	CDrawOperate
0x1404c8e38	0x14050ec70	0x1405d59b8	0	0x140089610	IDraw
0x1404c9010	0x14050ece8	0x1405d59d8	0	0x140089530	CDraw
0x1404c91f0	0x14050edc8	0x1405d59d8	8	0x14008950c	CDraw
0x1404c9360	0x14050edf0	0x1405d59f8	0	0x1400895a0	CDrawSCM
0x1404c9538	0x14050ee80	0x1405d59f8	8	0x140089518	CDrawSCM
0x1404c96e0	0x14050eea8	0x1405d5a18	0	0x14008b820	IDrawCrush
0x1404c9728	0x14050ef20	0x1405d5a40	0	0x14008b7d0	CDrawCrush
0x1404c9798	0x14050efa0	0x1405d5a68	0	0x14008bc20	IDrawShadow
0x1404c97c0	0x14050f018	0x1405d5a90	0	0x14008bbd0	CDrawShadow
0x1404c9810	0x14050f098	0x1405d5ab8	0	0x14008be20	IDrawUV
0x1404c9838	0x14050f110	0x1405d5ad8	0	0x14008bdd0	CDrawUV
