type_va	name
0x1405d5118	.?AVFullMotionVideo@DMC3@@
0x1405d5148	.?AVFullMotionVideoManager@DMC3@@
0x1405d5180	.?AVRequest@AsyncIOThread@?A0xdf511c96@@
0x1405d5220	gfxTexture
0x1405d5248	IUnknown
0x1405d52a0	.?AUIXAudio2VoiceCallback@DMC3@@
0x1405d53a0	nbCriticalSection
0x1405d53f0	IActor
0x1405d5410	CWork
0x1405d5450	ICollisionHandle
0x1405d54a0	ISceneFactory
0x1405d54c8	CSceneMgr
0x1405d5538	CSystemData
0x1405d5560	CSpline
0x1405d55a8	CCamera
0x1405d5668	ICom
0x1405d56a8	IComActionState
0x1405d57a0	CCustomize
0x1405d57c8	CCustomizeData
0x1405d57f0	IDamage
0x1405d58a8	IDamageCalc
0x1405d5918	IDifficult
0x1405d5968	IDrawOperate
0x1405d59b8	IDraw
0x1405d5a18	IDrawCrush
0x1405d5a68	IDrawShadow
0x1405d5ab8	IDrawUV
0x1405d5bf8	INonPlayer
0x1405d5c20	INonPlayerDeath
0x1405d5d80	CConstraint
0x1405d5ff0	CSpreadBone
0x1405d61f0	CChainNode
0x1405d6d20	CStageSet
0x1405d6d40	.?AV?$CList@VCNonPlayer@@@@
0x1405d6d70	IFactoryEnemy
0x1405d6e38	IHitMark
0x1405d6e98	CItemGet
0x1405d6ef8	CMisSelect
0x1405d6f80	IPermitAttack
0x1405d7340	.?AV?$CList@VCLockOnTarget@@@@
0x1405d7370	CKeyBuffer
0x1405d73d8	IPlayer
0x1405d7950	CScene
0x1405d7998	CChain
0x1405d79b8	CLightMgr
0x1405d79d8	CLightStatic
0x1405d7a28	CGameLoader
0x1405d7af0	CEventMissionLight
0x1405d7b20	CGameW
0x1405d7ca8	CExtraInfo
0x1405d8318	CStatus
0x1405d8ac8	IFadeControl
0x1405d8b60	IPtxManager
0x1405d8bb0	CClip
0x1405d8de8	CMcAppli
0x1405d8e08	type_info
0x1405d8e50	.?AVexception@std@@
